iter	Passed	Remaining
0	58	58664
1	58	29432
2	59	19677
3	59	14885
4	60	11955
5	60	9995
6	60	8605
7	60	7559
8	61	6741
9	61	6085
10	61	5546
11	61	5097
12	62	4716
13	62	4390
14	62	4108
15	62	3861
16	62	3642
17	63	3448
18	63	3275
19	63	3119
20	63	2978
21	64	2850
22	64	2732
23	64	2630
24	64	2532
25	65	2441
26	65	2356
27	65	2276
28	65	2202
29	66	2134
30	66	2070
31	66	2010
32	66	1953
33	66	1899
34	67	1849
35	67	1802
36	67	1758
37	67	1716
38	68	1675
39	68	1637
40	68	1601
41	68	1565
42	68	1532
43	69	1501
44	69	1471
45	69	1442
46	69	1414
47	69	1387
48	70	1362
49	70	1337
50	70	1314
51	70	1291
52	71	1269
53	71	1248
54	71	1230
55	71	1210
56	72	1192
57	72	1173
58	72	1155
59	72	1138
60	72	1121
61	73	1106
62	73	1092
63	73	1077
64	73	1062
65	74	1048
66	74	1034
67	74	1021
68	74	1008
69	75	996
70	75	986
71	75	977
72	76	966
73	76	955
74	76	945
75	76	934
76	77	923
77	77	913
78	77	902
79	77	893
80	77	883
81	78	874
82	78	863
83	78	854
84	78	845
85	78	837
86	79	829
87	79	821
88	79	813
89	79	805
90	79	798
91	80	790
92	80	783
93	80	776
94	80	769
95	80	762
96	81	755
97	81	749
98	81	743
99	81	736
100	82	730
101	82	725
102	82	720
103	82	714
104	83	709
105	83	703
106	83	698
107	83	692
108	84	687
109	84	682
110	84	676
111	84	671
112	84	666
113	85	661
114	85	656
115	85	651
116	85	646
117	85	641
118	86	637
119	86	632
120	86	628
121	86	623
122	86	619
123	87	614
124	87	610
125	87	606
126	87	602
127	87	598
128	88	594
129	88	592
130	88	588
131	88	584
132	89	580
133	89	577
134	89	573
135	89	569
136	89	566
137	90	563
138	90	560
139	90	557
140	91	555
141	91	551
142	91	548
143	91	545
144	91	541
145	92	538
146	92	536
147	92	533
148	92	530
149	93	527
150	93	524
151	93	521
152	93	518
153	93	516
154	94	513
155	94	510
156	94	508
157	94	505
158	95	504
159	95	502
160	95	499
161	96	497
162	96	494
163	96	492
164	96	489
165	96	487
166	97	484
167	97	482
168	97	479
169	97	477
170	98	475
171	98	472
172	98	470
173	98	468
174	98	466
175	99	463
176	99	461
177	99	459
178	99	457
179	99	455
180	100	453
181	100	451
182	100	449
183	100	447
184	101	445
185	101	443
186	101	441
187	101	439
188	102	440
189	102	438
190	103	437
191	103	435
192	103	433
193	103	432
194	104	430
195	104	428
196	104	426
197	104	424
198	105	423
199	105	421
200	105	420
201	106	419
202	106	418
203	106	416
204	107	415
205	107	413
206	107	412
207	107	410
208	108	408
209	108	407
210	108	405
211	108	404
212	108	402
213	109	401
214	109	399
215	109	398
216	109	396
217	110	395
218	110	393
219	110	392
220	110	390
221	111	389
222	111	387
223	111	385
224	111	384
225	111	382
226	112	381
227	112	380
228	112	378
229	112	377
230	112	375
231	113	374
232	113	373
233	113	371
234	113	370
235	113	368
236	114	367
237	114	366
238	114	364
239	114	363
240	114	362
241	115	360
242	115	359
243	115	358
244	115	357
245	116	355
246	116	354
247	116	353
248	116	352
249	116	350
250	117	349
251	117	348
252	117	347
253	118	346
254	118	345
255	118	344
256	118	343
257	119	342
258	119	341
259	119	340
260	119	339
261	120	338
262	120	337
263	120	336
264	120	335
265	121	334
266	121	333
267	121	332
268	121	331
269	122	330
270	122	329
271	122	327
272	122	327
273	123	326
274	123	325
275	123	323
276	123	322
277	123	321
278	124	320
279	124	319
280	124	318
281	124	317
282	125	316
283	125	315
284	125	314
285	125	313
286	125	312
287	126	311
288	126	310
289	126	309
290	126	308
291	127	308
292	127	307
293	127	306
294	127	305
295	128	304
296	128	303
297	128	303
298	128	302
299	129	301
300	129	300
301	129	299
302	129	298
303	130	297
304	130	296
305	130	295
306	130	295
307	130	294
308	131	293
309	131	292
310	131	291
311	131	290
312	132	289
313	132	289
314	132	288
315	132	287
316	132	286
317	133	285
318	133	284
319	133	283
320	133	283
321	134	282
322	134	281
323	134	280
324	134	279
325	135	279
326	135	278
327	135	277
328	135	276
329	135	275
330	136	275
331	136	274
332	136	273
333	136	272
334	136	271
335	137	271
336	137	270
337	137	270
338	138	269
339	138	268
340	138	267
341	138	267
342	139	266
